Song,Artist,isHot,track_id,popularity,duration_ms,album_release_year,album_cover_url,explicit,artist_popularity,artist_genres
Memphis Jug,Memphis Jug Band,False,5XZnEsRFKz6z26GmfJqZnI,1,174600,1990,https://i.scdn.co/image/ab67616d0000b27353b679bf466c1236b8758cde,False,18,"['acoustic blues', 'appalachian folk', 'jug band', 'memphis blues', 'traditional blues', 'traditional folk']"
Gail Wakes Up,Michael Whalen,False,3IPMUecrLHDkEV6YIvpWc4,0,77306,2006,https://i.scdn.co/image/ab67616d0000b2735727cf205c7752e8bf8f40d8,False,30,[]
We All Need Love,Irma Thomas,False,3T0JaegI5nEU0ytx6danA0,0,193800,1997,https://i.scdn.co/image/ab67616d0000b273a849143b45dca0a8d827298c,False,51,"['classic soul', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'southern soul']"
Aftertaste,X-tv,False,4XKm05rtIfD1CQKeDmNx58,0,333573,2009,https://i.scdn.co/image/ab67616d0000b273a85620d19c8689e201e319c6,False,0,[]
Honey,Mariah Carey Featuring Da Brat & JD,False,5NaOWLOmVjcA3M5spRATN9,58,299826,1997,https://i.scdn.co/image/ab67616d0000b27398ed501c6a838b2244ebaf75,False,88,"['dance pop', 'pop', 'urban contemporary']"
The Preacher & the Funeral,LaWanda Page,False,39y9Iq2sM2jnyHTNUXeKLK,0,187840,2000,https://i.scdn.co/image/ab67616d0000b2731c6ebf87f25a991d89d0e4da,True,5,"['black comedy', 'comedienne']"
I Could Use Another You (Digital Re-Recording),Eddy Raven,False,77IUvUPUfNmIdh290Y88sy,5,164640,2007,https://i.scdn.co/image/ab67616d0000b2738c3c0c0c92b59a81ccc2c421,False,42,['classic country pop']
Slave Song,Sade,False,5iQ530xQUXmzA4RRC0qzu3,43,252466,2000,https://i.scdn.co/image/ab67616d0000b27320fc6951e4d293707de2434c,False,78,"['british soul', 'sophisti-pop']"
Junko partner,Mike Bloomfield,False,6sV1vE8oWGyYtWW8ed6aXk,0,283706,1982,https://i.scdn.co/image/ab67616d0000b2736f47d1d3db392f6f635993d8,False,38,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'traditional blues']"
Crave and Wonder,Arc Angels,False,0R3FSwrAOv4jUmQOxcoezH,6,320333,2009,https://i.scdn.co/image/ab67616d0000b27336069cefc7c77dd9e943ecb6,False,28,"['southern rock', 'texas blues']"
Hot Girls,Kiprich,False,6RqgS4UlHix7k8FshbXndt,0,186186,2009,https://i.scdn.co/image/ab67616d0000b27323501d0803929d960d4627c9,False,36,"['dancehall', 'jamaican dancehall']"
Can't Stop Cocoa Tea,Cocoa Tea,False,0YKiuuiSnCQxI6rlhp6VNt,4,162360,1992,https://i.scdn.co/image/ab67616d0000b2738af5ceba64b6c3392f3c8837,False,49,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
Mark Practices,Rolfe Kent,False,0nzd1VTimFpxquLoWFDJ54,0,51066,2009,https://i.scdn.co/image/ab67616d0000b273c294a86971a3f70ae2224666,False,35,"['british soundtrack', 'soundtrack']"
Mighty Lak' a Rose,Marilyn Horne,False,3hYg4A80ZCJxE59RLidAWV,1,159920,1992,https://i.scdn.co/image/ab67616d0000b273d5af6b73517282cda96a84fc,False,8,['american romanticism']
U Not Like Me,50 Cent,False,0GltMgspY6OkEm4bBgsn8Z,53,255666,2003,https://i.scdn.co/image/ab67616d0000b273d843fabb75fef14010e30cae,True,85,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
The Windmills Of Your Mind,Toots Thielemans,False,6BKK2JEjN3o9oxdIBTpc4v,1,180000,1990,https://i.scdn.co/image/ab67616d0000b27375b19ec5df95ae47477e2574,False,47,"['belgian jazz', 'harmonica jazz']"
It's All In My Mind,Teenage Fanclub,False,6s8PHpgCpmHNMWs6mD19N7,29,221426,2005,https://i.scdn.co/image/ab67616d0000b2731398e1b48ddb73826f869d6d,False,43,"['alternative rock', 'modern power pop', 'power pop', 'scottish indie', 'scottish rock', 'shoegaze']"
14 Botellas,2 Minutos,False,2bxyJ9WaosHEzi97gePqlt,25,52333,1994,https://i.scdn.co/image/ab67616d0000b2734c2a2b90512f682bab0d56b3,False,52,"['argentine punk', 'argentine rock', 'latin alternative', 'ska argentino']"
Cold Youth,Cut Copy,False,5yCKKXp3sTybdnZu7yeWUg,12,289000,2008,https://i.scdn.co/image/ab67616d0000b27336f37bf1681bd6862145a9e6,False,49,"['alternative dance', 'australian dance', 'australian electropop', 'electronic rock', 'electronica', 'indietronica', 'neo-synthpop']"
What Are You Fighting For,Gyptian,False,4tPbVfpNAczwpdjH0W12CW,0,218560,2008,https://i.scdn.co/image/ab67616d0000b2737819a2afbd09c99b8835d4fb,False,59,"['conscious hip hop', 'dancehall', 'reggae fusion']"
Heft*,Fastway,False,0IyMsUTgE0tHMp37M2kj8X,15,318893,1986,https://i.scdn.co/image/ab67616d0000b2736506fc857cce908affc4f1a3,False,34,['glam metal']
Why Did You All Lie to Me?,Dario Marianelli,False,07p9KthPGXZddEKW0XPxcQ,2,263400,2009,https://i.scdn.co/image/ab67616d0000b273a65f4faf36dd6d2380126e3f,False,61,"['orchestral soundtrack', 'soundtrack']"
