Song,Artist,isHot,track_id,popularity,duration_ms,album_release_year,album_cover_url,explicit,artist_popularity,artist_genres
Lagrima,Terry Muska,False,3F03k8hzqsonjT456Fo8bW,6,112613,2011,https://i.scdn.co/image/ab67616d0000b273d92b8fad67b1acfb7c849af1,False,13,[]
Oi! Oi! Oi!,Cockney Rejects,False,5dDicxBwZ0NubxpT7zVUqa,37,204213,2011,https://i.scdn.co/image/ab67616d0000b273f4c42aa5ea2ab96bcd14296d,True,34,"['oi', 'punk']"
The One Piece Puzzle,SKYCLAD,False,4zlrHqXCTfcD8v6RAGWEXW,9,352453,2017,https://i.scdn.co/image/ab67616d0000b273c083811e4dc5b02f27ad8324,False,25,"['celtic metal', 'folk metal', 'viking metal']"
What I've Got In Mind,Billie Jo Spears,False,5KePF9WRNEToKTASL4sJuA,24,164786,2019,https://i.scdn.co/image/ab67616d0000b27334b66d3d698f8bd07024f9db,False,46,"['classic schlager', 'german country']"
Miina ja Mikko markkinoilla,Esa Pakarinen,False,46NR9s5OmyJ49MslF1j06d,0,119266,2008,https://i.scdn.co/image/ab67616d0000b27312c531dffcff09b4dd184c0e,False,36,"['classic finnish pop', 'classic iskelma']"
Mai,Loudermilk,False,4Ci80TqSYCCHIM7sB0DiMF,5,272066,2002,https://i.scdn.co/image/ab67616d0000b273a8ba90f46c95f011ba032d39,False,12,[]
Saturday Night's Alright (For Fighting),Nickelback featuring Kid Rock,False,5tHoSyAlYoNjurlgDF3wbQ,34,223533,2018,https://i.scdn.co/image/ab67616d0000b273396bf9db0cf5a219e7abe125,False,80,"['alternative metal', 'canadian rock', 'post-grunge']"
Menssa,Loketo,False,6DQBhBDFuFnfnNZeunNfl2,1,293600,2006,https://i.scdn.co/image/ab67616d0000b2735ac10b9fc0b4350f708af6ce,False,32,['soukous']
Carrie's Theme,John Frizzell,False,3mgSYfS5dWIgjGM8BapW3S,1,100773,2009,https://i.scdn.co/image/ab67616d0000b273ee287ab88d663fd50a3cefb0,False,21,['soundtrack']
Waiting For A Train [Live],John Sebastian,False,5s3bOOGDfU4E84Mco9vThU,3,169840,1971,https://i.scdn.co/image/ab67616d0000b273bbd7b42cc47efeeefe446837,False,36,"['country rock', 'folk', 'folk rock', 'singer-songwriter', 'yacht rock']"
