Song,Artist,isHot,track_id,popularity,duration_ms,album_release_year,album_cover_url,explicit,artist_popularity,artist_genres
Crash Course,UK Subs,False,3CkOMeQfUm5LgS90BX1JWM,10,103640,1979,https://i.scdn.co/image/ab67616d0000b27308b7bf478ed105e2de61eaf0,False,35,"['hardcore punk', 'oi', 'punk', 'uk82']"
September Song,Tony Martin,False,17Qi0INy6fKcs9aiLETjIr,0,191817,2020,https://i.scdn.co/image/ab67616d0000b2732ea3bc4a20eb3ba69c3a3294,False,27,['deep adult standards']
Missing You For A Mile,Beres Hammond,False,0N6cMDWun8iWg3Q3tILpgT,2,235146,2009,https://i.scdn.co/image/ab67616d0000b2732fe761e2d84f3f5aa2eb83e0,False,54,"['lovers rock', 'reggae', 'roots reggae', 'soca']"
Strange Fruit,James Carter,False,2O6hTewO9PnBziKJfuSyAk,0,258440,2003,https://i.scdn.co/image/ab67616d0000b273a97a1adaf10425871c01a60d,False,19,['contemporary post-bop']
Flight Of Earls,Barley Bree,False,6WTTBfLQc6DgxG2nDKUodp,0,282293,1995,https://i.scdn.co/image/ab67616d0000b27318ca4501e0d40ca972fd36cd,False,3,['irish country']
The Luck You Got,The High Strung,False,1eD7m52NzP75Fm99vDwqSJ,44,168213,2005,https://i.scdn.co/image/ab67616d0000b273239a4e299352009a93e10a5a,False,33,['detroit indie']
Guided By History,Mithotyn,False,40MbQAWOHY3Z7re3Zkrqog,3,391040,2008,https://i.scdn.co/image/ab67616d0000b2732c9f1e7568dd940877da2c8c,False,16,"['folk metal', 'pagan black metal', 'viking black metal', 'viking metal']"
Turn It Out,Larry Graham & Graham Central Station,False,5IQclrY4pxULh2qiMEWrq4,12,277640,1978,https://i.scdn.co/image/ab67616d0000b2734791f090163c91fbb0a82b0c,False,20,"['funk', 'p funk']"
Search For Jenny,Francis Lai,False,0q5prWP8Y3Txar1vuK7OmA,17,183933,1970,https://i.scdn.co/image/ab67616d0000b2734fec52397032ca8865243cbd,False,60,"['classic soundtrack', 'french soundtrack', 'vintage french electronic']"
Xiao Shuo Xiang,Leo Ku,False,2RNNPimHKtM3fXsll9bj1a,16,244746,2003,https://i.scdn.co/image/ab67616d0000b273dcb0aef948a6cb59edd9a603,False,54,['cantopop']
Serenade,Slim Whitman,False,6xlyngq917k76TK5UxVX4q,3,141453,2009,https://i.scdn.co/image/ab67616d0000b2739613353e3602e79e06508fe7,False,37,"['cowboy western', 'yodeling']"
