Song,Artist,isHot,track_id,popularity,duration_ms,album_release_year,album_cover_url,explicit,artist_popularity,artist_genres
40,U2,False,7oxLbNqm9xz5fUyCJXjgbn,33,351564,1987,https://i.scdn.co/image/ab67616d0000b273b7bea3d01f04e6d0408d2afe,False,79,"['irish rock', 'permanent wave', 'rock']"
Shrinking,Dictafone,False,4jWlxMxP6HJvloYr22oY91,0,254160,2006,https://i.scdn.co/image/ab67616d0000b2738eb2a8509c56f8e8901003f0,False,0,[]
Secret Handshakes,The Ataris,False,15tCMl8ZS0YDNXIPnMECqm,7,222933,2007,https://i.scdn.co/image/ab67616d0000b2731fc970247b6cfe5c6fdfe9ae,False,51,"['emo', 'pop punk', 'pop rock', 'skate punk']"
Burning Skies,Tones On Tail,False,6CmXuuXstpcQeLL007qdti,18,387106,1984,https://i.scdn.co/image/ab67616d0000b27326345993f8a751a7cbf2e642,False,34,"['gothic rock', 'industrial', 'industrial rock', 'new wave', 'post-punk', 'uk post-punk']"
One Step Forward_ Two Steps Back,John Sebastian,False,08jdRWpDNjGqdO5DUw5cf8,3,276466,1976,https://i.scdn.co/image/ab67616d0000b2733b681e556f4c9b34b5ef7c1f,False,36,"['country rock', 'folk', 'folk rock', 'singer-songwriter', 'yacht rock']"
Love & Romance,Willie Barcena,False,712UyBd9Z7ZicWg5nTCJRm,1,163773,1999,https://i.scdn.co/image/ab67616d0000b2732f229ada68b292101c0ba22b,True,14,"['black comedy', 'deep comedy', 'latino comedy']"
Greener,ARRESTED DEVELOPMENT,False,6OTx5F30UzRN5hS9dElCwF,0,339213,2010,https://i.scdn.co/image/ab67616d0000b2730653489f0e980d80a8c34492,False,51,"['atl hip hop', 'conscious hip hop', 'hip hop', 'old school atlanta hip hop']"
Flame It Up,DJ Rashad,False,3Brr02GYN2lxNTJHxJCzhV,1,187240,2006,https://i.scdn.co/image/ab67616d0000b273619493615948673518466375,True,34,['footwork']
Prosperity In The U.S.A.,Yuppie Pricks,False,110Ep9cSzo7yoQECuGRlyx,0,168666,2006,https://i.scdn.co/image/ab67616d0000b2732149bd44f46a1f229f29682d,False,0,[]
Hun Qian De Nu Ren,Hacken Lee,False,1xC892pPMkOmKfiqxnS0iB,7,234066,2007,https://i.scdn.co/image/ab67616d0000b27311b7b4ed1011bd36402ed3d2,False,53,"['c-pop', 'cantopop', 'classic cantopop']"
Raggy Road,Capleton,False,562MvfT3UJLN9buoeWIy5D,24,161853,2025,https://i.scdn.co/image/ab67616d0000b273691c4aeafa336f41253fa438,False,22,[]
Main Title,Christophe Beck,False,72FB6u6Z4bP4asRAUt9rpB,11,42000,2024,https://i.scdn.co/image/ab67616d0000b2739d9b1f201de8879d57336f49,False,60,"['canadian soundtrack', 'soundtrack']"
Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,Solomon,False,3rym797wMMw1zw64aEQZkB,0,834443,2009,https://i.scdn.co/image/ab67616d0000b27319e30add258cd28dd355e712,False,8,"['british classical piano', 'historic piano performance']"
You'll Need Somebody On Your Bond,Blind Willie Johnson,False,5N3mDViWibbB7MWhZLRyhz,0,183849,2014,https://i.scdn.co/image/ab67616d0000b2731e769dcb6c54fca5841d19cd,False,36,"['acoustic blues', 'blues', 'country blues', 'gospel blues', 'texas blues', 'traditional blues']"
Autumn's Ablaze (Live),Primordial,False,4o4d05sjPnPM1rCMb0n029,0,484120,1998,https://i.scdn.co/image/ab67616d0000b273c9b044b322088d33d87fb3ff,False,33,"['black metal', 'celtic metal', 'doom metal', 'folk black metal', 'folk metal', 'irish black metal', 'irish metal', 'pagan black metal', 'symphonic black metal']"
Contigo Si,La 5A Estacion,False,59sKVW4bb7aMze163XexL0,9,131320,2002,https://i.scdn.co/image/ab67616d0000b27329995dfdab00737a7b504dac,False,69,"['latin arena pop', 'latin pop', 'spanish pop rock']"
Trumpet Blues And Cantabile,Mike Vax,False,6Bn3yUUTUzU931XZeQHX8j,0,154066,2001,https://i.scdn.co/image/ab67616d0000b27371a385a02373ba5a5aad1d69,False,5,[]
Jericho  (Straight On Album Version),DeGarmo & Key,False,3Szy9ZeRA5QFSXptlkn6vU,6,276800,1979,https://i.scdn.co/image/ab67616d0000b2735c46baaaffcfc778cd69f490,False,28,['deep christian rock']
Born To Be Together,The Ronettes,False,61xuOY4bOj3Z75SrUQ2Aqa,24,179346,2011,https://i.scdn.co/image/ab67616d0000b2734694c5b97d3a88efb5fc71b5,False,79,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']"
You Better Stop,Curtis Mayfield,False,506la6kQ8HaTHVEeo06PWk,4,411933,1979,https://i.scdn.co/image/ab67616d0000b27315c4319f560eba50413ce90f,False,59,"['chicago soul', 'classic soul', 'funk', 'soul']"
Hopelessly,Rick Astley,False,4OohxzA1hTn5tis4iuxEoq,30,215093,1993,https://i.scdn.co/image/ab67616d0000b27324badcbc0e23f0071a72774f,False,68,"['new romantic', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
I Got Rhythm,Oscar Peterson Trio,False,1yuUSZVTjbqzH2RPE3m5Xf,3,180133,2002,https://i.scdn.co/image/ab67616d0000b273de28b33f623a3d2abfe51641,False,60,"['bebop', 'contemporary post-bop', 'jazz', 'jazz trio']"
Creation,The James Taylor Quartet,False,6NuT6DSCjwWfHzq7cUdXek,10,255720,1996,https://i.scdn.co/image/ab67616d0000b273157405535581f9c78d32cc1f,False,34,"['acid jazz', 'brit funk', 'medway sound']"
Didn't Know Yet What I'd Know When I Was Bleedin',Dax Riggs,False,1kX5l6hQCbYSK85YezUiUi,33,159346,2007,https://i.scdn.co/image/ab67616d0000b2735f91f693a87e9fecc7903b37,False,36,['swamp rock']
Hip Replacement,Paris_ Texas,False,1yzNdM8ARZQpOF1F8lsQTh,0,225666,2004,https://i.scdn.co/image/ab67616d0000b273183b517db6546f2e71d591a6,False,3,[]
Here I Am,FFH,False,3vtjNTNtZUhLDz2dNTQ2I9,3,263840,2003,https://i.scdn.co/image/ab67616d0000b2738a7357e6b0bf8ef05eaa8643,False,34,"['christian alternative rock', 'christian music']"
Sugar Blues,Bob Willis,False,7dX5cauxwbnQXAtFoBGPx3,0,183693,2014,https://i.scdn.co/image/ab67616d0000b2731c04f7b641367d85477d68df,False,36,"['bakersfield sound', 'traditional country', 'western swing']"
Down And Out In Paradise,John Mellencamp,False,2k5LE1HaUasIFvuWYhEDKq,21,217466,1987,https://i.scdn.co/image/ab67616d0000b273070f39b3a5350af6e9fa3780,False,66,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
Every Breath I Take,Gene Pitney,False,5mqJuf5U7M3eLNsaKZ0mUH,26,165960,1966,https://i.scdn.co/image/ab67616d0000b273333ad6b91f324be73788f596,False,45,"['adult standards', 'brill building pop', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Bomba Camara,Richie Ray & Bobby Cruz,False,1s4HsjcFVRt1cVS6g0WTIy,32,343320,1967,https://i.scdn.co/image/ab67616d0000b27318fa9e5cd8e06d13f256c624,False,53,"['boogaloo', 'salsa international']"
Chalifot (Suits) (Live) (ft. Lioara Itzchak),Hadag Nahash,False,5IglO8joTF24Np67KJEc9i,0,338920,2008,https://i.scdn.co/image/ab67616d0000b273c22881e119160125aeb9d96e,False,47,"['israeli hip hop', 'jewish hip hop']"
Zornig!,Dynamite Deluxe,False,7HOHkcYEx26VPBrrpLwmrG,14,146760,2000,https://i.scdn.co/image/ab67616d0000b2738cd0386d83ad92c8427155b3,True,35,"['german alternative rap', 'hamburg hip hop', 'oldschool deutschrap']"
Sweet Defeat,The Flesh,False,6dpQQY28lp9VQ3cwYBFzFA,0,227000,2004,https://i.scdn.co/image/ab67616d0000b27358d408cf848c407a5e2f5224,False,0,[]
Atrapados En La Red,Tam Tam Go!,False,6mcpkw1sqCQWbTjDBCLj26,46,263800,1999,https://i.scdn.co/image/ab67616d0000b2734005efa2ac964909c4d88cce,False,43,"['indie extremena', 'spanish new wave', 'spanish pop', 'spanish pop rock']"
V,Zeromancer,False,7FrkDZeld2fWazZec34xqF,11,280520,2010,https://i.scdn.co/image/ab67616d0000b273b19601df9351161ab8867eb8,False,35,['industrial metal']
Des Helden Widersacher,David Zinman,False,0gOgo9CRO0WhzLAF5HMre7,0,227093,2000,https://i.scdn.co/image/ab67616d0000b2736a1a95419233d6c1e23e217a,False,55,"['classical', 'german romanticism', 'post-romantic era']"
A World In Fast Forward,Michael Whalen,False,2mlQJ6Ya06hdJtqt4eM71s,0,436520,2006,https://i.scdn.co/image/ab67616d0000b273274079b9bbd26eb221e939d6,False,30,[]
Sweeter Than You,The Four Pennies,False,23MJhTNlmn9RfBofohXE3r,1,153746,1964,https://i.scdn.co/image/ab67616d0000b2739bc64365458dfb2848d79281,False,19,['british invasion']
Seeing Is Believing,Mike And The Mechanics,False,6b0jGF0WlBc6crQKZvx8a2,19,193106,1988,https://i.scdn.co/image/ab67616d0000b273875b64d1bb42e702179ea11b,False,59,"['album rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
The Lost Name of God,Amorphis,False,2S2uvDk968xlBBIwOST7k2,13,332066,1992,https://i.scdn.co/image/ab67616d0000b27355f6d77fd9d20f34410ce66e,False,49,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'folk metal', 'gothic metal', 'melodic death metal', 'metal', 'power metal', 'progressive doom', 'symphonic metal', 'viking metal']"
On Tomorrow,Captain Beefheart & The Magic Band,False,1lmrpbN19XR9vKG7Eatmce,15,415000,1967,https://i.scdn.co/image/ab67616d0000b273a1b6277839cf22f21b69f267,False,46,"['experimental', 'experimental rock', 'outsider', 'protopunk', 'psychedelic rock', 'singer-songwriter', 'zolo']"
Push It,Salt-N-Pepa,False,6sT9MWlJManry3EQwf4V80,65,272133,1986,https://i.scdn.co/image/ab67616d0000b273a90317b8d96c0b3f5e9c5e3d,False,63,"['girl group', 'golden age hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'queens hip hop']"
Little Bit of Inner Air,Atomic Rooster,False,3DXBUImXh5MSjOdMyT7BNc,6,159773,1972,https://i.scdn.co/image/ab67616d0000b273a3c3b861878f15f7738d4192,False,31,"['british blues', 'progressive rock', 'proto-metal']"
Through With You,Maroon 5,False,1ShkiUGko94e4BW5fEnxxw,40,181573,2002,https://i.scdn.co/image/ab67616d0000b27392f2d790c6a97b195f66d51e,False,87,['pop']
King Tee Production,King Tee,False,3JRXrwfvF7iSXmujRJdEor,4,154600,1990,https://i.scdn.co/image/ab67616d0000b2736a87e13e1bcd92a2c42cf1e7,True,42,"['g funk', 'old school hip hop', 'west coast rap']"
Foreign Prince Of Tokyo,Vodka Collins,False,1CwpKXn3baDU8lbITLrIyL,0,250333,1998,https://i.scdn.co/image/ab67616d0000b273c59a30c166ca4dcb32089116,False,0,['glam rock']
Deus Ex Machina,William Orbit,False,4rfJtyBSp7tveZVeCaFpWO,11,340466,1993,https://i.scdn.co/image/ab67616d0000b2733a8573b325d2370ec0aaa914,False,47,"['classic progressive house', 'downtempo', 'intelligent dance music']"
The Bull Frog,Edmundo Ros,False,2P5SRygKTFJO4JZSwm1yUp,0,152053,2010,https://i.scdn.co/image/ab67616d0000b273df52538679d44be6cc396615,False,30,"['easy listening', 'mambo']"
Danser seule 2,Klimperei,False,1yT8E4kZuRlmS580j5aIJh,0,13000,2008,https://i.scdn.co/image/ab67616d0000b273a101c0ecd14accd5b9f84944,False,12,['prepared piano']
It's So Fine,Jackie Wilson,False,0WUpvj2ZQlHBKIOMHtr0CY,12,132786,1958,https://i.scdn.co/image/ab67616d0000b2738cc2718c11345833920086b2,False,57,"['chicago soul', 'classic soul', 'quiet storm', 'rock-and-roll', 'soul']"
